File,Fp1-AVG,F3-AVG,C3-AVG,P3-AVG,O1-AVG,Fp2-AVG,F4-AVG,C4-AVG,P4-AVG,O2-AVG,F7-AVG,T3-AVG,T5-AVG,F8-AVG,T4-AVG,T6-AVG,FZ-AVG,CZ-AVG,PZ-AVG,EKG,Photic
00001.edf,-0.011167582417582417,0.09556318681318682,-0.005666208791208791,-0.007170329670329671,0.001201923076923077,-0.030364010989010988,-0.02794642857142857,-0.022520604395604396,-0.007259615384615384,0.012046703296703296,-0.003145604395604396,0.007850274725274725,0.005906593406593406,0.002596153846153846,0.0036126373626373626,0.0009340659340659341,-0.02790521978021978,-0.017554945054945054,-0.006380494505494505,0.016751373626373627,-0.015315934065934065
00002.edf,0.008873441994247363,0.004908916586768936,0.007253116011505273,0.006673058485139022,0.006212847555129434,0.03606423777564717,0.007310642377756472,0.005781399808245446,0.004007670182166826,0.006783317353787153,-0.07044582933844679,0.002837967401725791,0.005436241610738255,0.00662032598274209,0.0006375838926174496,0.0007190795781399808,-0.002909875359539789,0.005100671140939597,0.004669223394055609,-0.0029050814956855225,-0.01601150527325024
00003.edf,0.06330261136712749,0.12533026113671275,-0.02139016897081413,-0.06917818740399385,-0.012112135176651306,-0.017043010752688173,-0.07007680491551459,-0.0726958525345622,-0.031451612903225803,-0.00945468509984639,0.04238863287250384,-0.019984639016897083,-0.012995391705069125,0.0793010752688172,0.08973118279569893,0.09567588325652841,-0.08779569892473119,-0.009531490015360983,-0.018110599078341012,-0.0014592933947772657,-0.0067511520737327186
00004.edf,0.16010625737898465,-0.04398465171192444,-0.015395513577331758,-0.025832349468713104,0.11668831168831169,-0.05126918536009445,-0.0004958677685950413,-0.008760330578512396,0.016387249114521843,0.11952184179456907,-0.05374852420306966,-0.030206611570247933,-0.030448642266824085,-0.05541912632821724,-0.020838252656434474,0.016717827626918536,-0.015265643447461629,-0.017733175914994098,-0.022538370720188904,-0.00461629279811098,-0.01319362455726092
00005.edf,-1.8785986913849508,-0.950474372955289,0.11149400218102508,0.14714830970556161,0.14019083969465648,-3.0354907306434025,-1.0286205016357688,0.12938386041439476,0.14999454743729554,0.07273718647764449,0.07069792802617231,0.15680479825517993,0.13472737186477646,0.16569247546346783,0.12817884405670665,0.12010905125408942,0.11110141766630316,0.18349509269356598,0.15557797164667395,0.013047982551799345,-0.012584514721919302
00006.edf,-0.00026785714285714287,-0.007345238095238096,-0.003119047619047619,0.004857142857142857,-0.003130952380952381,0.013017857142857144,-0.0028392857142857143,-0.005107142857142857,0.0005,0.010327380952380952,-0.019089285714285715,0.0034821428571428573,-0.007244047619047619,0.06983928571428571,-0.004660714285714285,-0.006678571428571429,-0.00811904761904762,-0.005892857142857143,-0.0001369047619047619,0.010351190476190476,-0.006642857142857143
00007.edf,0.025465116279069767,-0.03131782945736434,0.0058305647840531565,0.015071982281284606,0.0019767441860465114,0.0432281284606866,0.000310077519379845,0.000132890365448505,0.016915836101882614,-0.0005426356589147286,-0.01221483942414175,0.007021040974529346,0.0009634551495016612,-0.03708194905869325,0.010509413067552603,0.007929125138427464,0.011782945736434108,0.010238095238095239,-0.005437430786267995,-0.005249169435215947,-0.017059800664451827
00008.edf,0.034652777777777775,-0.008938492063492063,-0.0341765873015873,-0.025267857142857144,-0.02794642857142857,-0.02236111111111111,0.06379960317460318,-0.017896825396825397,-0.021686507936507938,-0.03630952380952381,-0.05271825396825397,-0.012261904761904762,-0.019672619047619046,0.024652777777777777,-0.023134920634920633,-0.02617063492063492,0.25552579365079364,-0.017152777777777777,-0.015416666666666667,0.0005257936507936508,0.0
00010.edf,-0.04369543650793651,0.0005158730158730159,0.00689484126984127,-0.008988095238095238,-0.005709325396825397,-0.004479166666666667,0.035203373015873014,-0.0013293650793650793,-0.02363095238095238,-0.021259920634920635,-0.03982142857142857,-0.002336309523809524,-0.0005009920634920635,0.004370039682539683,-0.025639880952380952,-0.03076388888888889,0.00900297619047619,0.013338293650793651,-0.000248015873015873,-0.011081349206349206,-0.012266865079365079
00011.edf,-0.09123227917121048,-0.020637949836423117,0.011499454743729553,0.008980370774263904,0.018042529989094874,0.03446019629225736,0.004776444929116685,-0.0008833151581243184,0.008538713195201745,0.01554525627044711,-0.06561068702290077,0.018435114503816793,0.01684296619411123,-0.028233369683751362,0.01436205016357688,0.01653217011995638,-0.03666303162486369,0.006155943293347873,0.008473282442748092,-0.004885496183206107,-0.018386041439476555
00012.edf,0.11474442988204456,0.0022280471821756226,-0.0046985583224115335,-0.09311926605504588,0.0014809960681520314,0.044521625163826996,0.056684141546526866,0.017948885976408913,-0.009796854521625164,0.014580602883355177,0.05451507208387942,-0.01326343381389253,-0.007961992136304063,-0.03149410222804718,-0.016264744429882044,-0.027247706422018347,0.021140235910878113,0.030674967234600264,0.007123197903014417,0.0013892529488859764,-0.01645478374836173
00013.edf,-0.0625091575091575,0.006288156288156288,-5.4945054945054945e-05,0.009047619047619047,-0.005201465201465202,0.02485958485958486,0.010921855921855923,0.003064713064713065,0.005433455433455433,-0.0027167277167277166,-0.02089133089133089,0.006489621489621489,-0.007759462759462759,-0.008168498168498168,-0.012783882783882783,-0.008797313797313798,0.006623931623931624,0.002857142857142857,0.008363858363858364,-0.0039987789987789985,-0.012161172161172162
00014.edf,-0.0837111801242236,0.012631987577639751,0.024914596273291924,-0.0064285714285714285,0.0017857142857142857,0.030908385093167703,0.004596273291925466,-0.0004580745341614907,-0.0006211180124223603,0.010520186335403726,-0.006777950310559006,-0.011187888198757764,-0.0018788819875776397,0.027864906832298135,0.016622670807453416,0.010908385093167702,-0.08718167701863354,-0.004052795031055901,0.004386645962732919,-0.017119565217391303,-0.016187888198757765
00015.edf,-0.009846938775510204,-0.04731859410430839,0.013662131519274376,-0.01985827664399093,-0.005578231292517007,-0.02344671201814059,0.11479591836734694,-0.052590702947845805,-0.0009750566893424037,-0.008747165532879818,0.027448979591836734,-0.011666666666666667,-0.010277777777777778,-0.03267573696145125,-0.013384353741496598,-0.016904761904761905,0.06969387755102041,0.016825396825396827,-0.023962585034013606,0.002380952380952381,-0.016247165532879818
00016.edf,0.028683788121990367,-0.05601123595505618,-0.010746388443017656,0.030088282504012843,-0.006581059390048154,0.025465489566613164,0.03739967897271268,0.008563402889245586,-0.006725521669341894,-0.007463884430176565,-0.025032102728731943,-0.02189406099518459,-0.01843499197431782,0.009550561797752809,0.02238362760834671,0.001813804173354735,0.0114446227929374,0.02023274478330658,0.006797752808988764,-0.01647672552166934,-0.001725521669341894
00017.edf,-0.06474548440065682,0.021929392446633826,-0.006707717569786535,0.005155993431855501,0.013924466338259441,-0.050911330049261086,-0.03669129720853859,-0.012216748768472906,0.0035385878489326765,0.01310344827586207,0.028275862068965516,0.0079064039408867,0.020935960591133004,-0.04490147783251232,-0.006297208538587849,0.0031444991789819376,-0.001715927750410509,-0.0009605911330049261,-0.009310344827586206,0.0053119868637110015,-0.010032840722495894
